Year,Team,League,G,RegWPct,PostSeason,W,WPct,AB,R,H,x2B,x3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
2009,Baltimore Orioles,AL,34,0.395,0,13,0.382,1178,157,335,67,7,35,151,95,181,30,12,0.284,0.342,0.442,0.784
2008,Boston Red Sox,AL,23,0.586,1,8,0.381,784,103,199,37,1,23,100,82,161,10,5,0.254,0.328,0.392,0.719
2007,Philadelphia Phillies,NL,32,0.549,1,11,0.379,1135,184,321,55,7,36,172,111,222,24,9,0.283,0.35,0.439,0.788
2008,Los Angeles Dodgers,NL,33,0.519,1,11,0.379,1137,170,309,50,14,35,162,129,198,35,14,0.272,0.349,0.433,0.782
2006,Atlanta Braves,NL,32,0.488,0,11,0.379,1088,140,290,59,4,26,134,89,216,11,6,0.267,0.324,0.4,0.724
2007,Kansas City Royals,AL,29,0.426,0,11,0.379,1027,166,311,65,9,24,150,93,193,31,18,0.303,0.365,0.454,0.819
2009,Cleveland Indians,AL,35,0.401,0,12,0.375,1210,183,338,64,11,41,176,98,239,32,10,0.279,0.336,0.452,0.788
2009,Houston Astros,NL,35,0.457,0,12,0.375,1165,125,290,54,14,23,117,84,222,34,6,0.249,0.299,0.379,0.677
2008,Baltimore Orioles,AL,29,0.422,0,10,0.37,971,124,256,58,3,14,114,80,154,25,15,0.264,0.324,0.373,0.697
2008,Chicago White Sox,AL,33,0.546,1,11,0.367,1147,162,314,67,12,27,151,97,218,14,12,0.274,0.337,0.424,0.761
2006,Houston Astros,NL,30,0.506,0,11,0.367,1037,152,271,56,7,27,144,110,211,23,4,0.261,0.336,0.407,0.743
2007,New York Mets,NL,34,0.543,0,12,0.364,1132,144,279,53,7,28,136,127,212,38,9,0.246,0.329,0.38,0.709
2006,Chicago White Sox,AL,31,0.556,0,10,0.345,1097,161,318,78,8,38,149,88,179,14,12,0.29,0.347,0.479,0.827
2007,Tampa Bay Devil Rays,AL,31,0.407,0,10,0.345,1055,126,268,60,12,12,121,87,218,30,11,0.254,0.315,0.368,0.683
2009,Arizona Diamondbacks,NL,34,0.432,0,11,0.324,1189,190,340,78,8,27,178,132,214,25,13,0.286,0.364,0.433,0.797
2009,San Diego Padres,NL,34,0.463,0,10,0.323,1209,194,347,79,6,33,184,117,240,23,13,0.287,0.356,0.444,0.8
2007,Chicago White Sox,AL,33,0.444,0,10,0.313,1151,184,341,58,8,36,176,108,190,26,11,0.296,0.36,0.454,0.815
2006,Boston Red Sox,AL,30,0.531,0,9,0.31,1022,132,261,65,5,30,127,110,209,17,8,0.255,0.33,0.417,0.747
2008,San Francisco Giants,NL,34,0.444,0,9,0.281,1162,151,297,53,12,18,143,105,204,40,16,0.256,0.326,0.368,0.695
2006,Washington Nationals,NL,33,0.438,0,9,0.281,1113,150,281,48,3,31,141,117,226,31,12,0.252,0.33,0.385,0.715
2010,Colorado Rockies,NL,33,0.512,0,17,0.567,1150,203,362,90,23,27,191,117,173,25,10,0.315,0.382,0.503,0.885
